Code,Area,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
00AA,City of London,0,0,0,0,0,0,0,909.4,0,0,0,0
00AB,Barking and Dagenham,452.1,450,441.2,422.5,436.6,462.2,461,479.1,471,486.7,508.7,536.1
00AC,Barnet,498.3,503.1,517.5,479.1,491,485.6,522.6,536.6,536.4,538.8,574.9,624
00AD,Bexley,505.1,509.1,497.9,512.6,491.1,487,513,512.7,553.4,566.5,586.6,641.5
00AE,Brent,414.9,442,441.8,441.8,457.6,467,471,479.9,524,531.8,555.7,562.5
00AF,Bromley,551.7,566.6,581.1,578.5,583.8,584.3,608,632.7,638.3,613.2,666.6,704.7
00AG,Camden,612,612,629.5,613.1,588.1,632.5,614.3,634.4,662,623,695,690.3
00AH,Croydon,481.7,493.2,481.4,499,492.2,512.3,538.5,550.6,561.7,565.1,613.3,667.7
00AJ,Ealing,486.6,495,502.1,498.4,495.7,498.3,517.2,524.3,532.2,566.8,582.6,601.3
00AK,Enfield,475.8,455.4,450.3,462.8,473.6,463.9,479.8,464.8,490.1,492.6,521.5,561
00AL,Greenwich,488,470.5,516.5,509.1,532.5,539.3,553,566,579.5,573.1,618.3,657.4
00AM,Hackney,517.4,511.4,519,513,534.5,527.8,558.1,555.4,574.9,574.9,576.8,624.1
00AN,Hammersmith and Fulham,594.1,613.3,610.7,609.9,646.7,641.9,651.1,682,728,713.1,727,729.9
00AP,Haringey,471.8,489.1,464.6,467.7,500,481.9,525.3,551.4,547.6,567.8,546,602.1
00AQ,Harrow,487.7,471.7,478.9,492.3,505.1,522.8,543.4,534.9,581.9,570.5,580.2,620.5
00AR,Havering,505.3,500.9,489.7,499.1,517.5,532.6,534.2,544.8,568.5,574.9,585.7,613.4
00AS,Hillingdon,497.4,509.7,522.2,492.5,498.8,499.8,500.4,531.7,545.9,560.9,594.8,629.6
00AT,Hounslow,473.2,479.1,479.1,463.5,495.6,500.9,517,533.6,547.6,511.8,567.2,595.1
00AU,Islington,598.5,605.1,606,613.5,603.7,613.3,646.1,687.7,699.1,690.1,670.7,700.8
00AW,Kensington and Chelsea,793.9,655,726.7,641.3,632.4,651.6,784.4,670.6,763.7,802,763.6,712.7
00AX,Kingston upon Thames,579.8,601.1,604.2,556.5,574.6,566.7,579.9,629.7,628,617.3,667.9,666.4
00AY,Lambeth,536.7,574.8,536.6,547,542.9,551.7,594.6,617.1,634.8,670.8,681.2,700.4
00AZ,Lewisham,473.2,499.6,525.5,518.5,517.5,520.6,535.2,551.2,552,574.9,574.9,606.3
00BA,Merton,536.9,538.4,527,542.9,548.1,585.3,573,594.1,578.9,578.3,592.1,579.2
00BB,Newham,382.5,369.8,387.6,393.7,421.6,436.7,471.3,475.9,517.5,534.4,574.9,578.3
00BC,Redbridge,479.5,526.7,503.9,517.6,533.1,521.8,546.8,555.8,565.6,581.6,579.3,581.9
00BD,Richmond upon Thames,665,670.8,670.5,654.2,648,688.8,665.9,677.6,721.1,702.9,704.5,709.3
00BE,Southwark,530.5,536.6,524.4,529,557,543,587.1,589.4,628,620.9,637.8,670.7
00BF,Sutton,497.9,517.5,518,508.3,498.3,532.9,515.2,548.7,549,543.3,576.9,575.3
00BG,Tower Hamlets,542.3,566.8,575.1,574.9,554.9,557.9,592,627.6,688.9,665,685.2,718.7
00BH,Waltham Forest,464.4,472.6,441.8,444.8,476.3,483.4,499.4,529.7,574.9,596.8,629.6,645.2
00BJ,Wandsworth,651.6,632.3,644.1,661.1,670.1,684.7,681.2,695.7,720.9,755.2,746,833.1
00BK,Westminster,670.8,701,625,659.6,656,667.5,730.8,757.1,703.9,701.1,771.1,737.9
